source,target,lr_pair,pvalue,mean
CAF_iCAF,B_cells,"('CXCL8', 'CD79A')",0.0,3.241909980773926
T_cells,B_cells,"('FYN', 'CD79A')",0.0,3.20097017288208
Endothelial,B_cells,"('FYN', 'CD79A')",0.0,3.1929895877838135
Myeloid,B_cells,"('CXCL8', 'CD79A')",0.0,3.187609910964966
CAF_iCAF,B_cells,"('PTPN6', 'CD79A')",0.0,3.155381679534912
Endocrine,B_cells,"('PTPN6', 'CD79A')",0.0,3.1520397663116455
Acinar,B_cells,"('PTPN6', 'CD79A')",0.0,3.1183133125305176
Acinar,Endocrine,"('REG1A', 'PTK2')",0.0,2.140298366546631
T_cells,T_cells,"('CD8A', 'CD4')",0.0,2.017597198486328
Acinar,Unknown,"('REG1A', 'PTK2')",0.0,2.005617380142212
Acinar,Endothelial,"('REG1A', 'PTK2')",0.0,1.9833470582962036
Acinar,Acinar,"('REG1A', 'PTK2')",0.0,1.974787950515747
Acinar,Myeloid,"('REG1A', 'PTK2')",0.0,1.967610478401184
Acinar,Unknown,"('PRSS1', 'F2R')",0.0,1.872022032737732
Acinar,Acinar,"('PRSS1', 'F2RL2')",0.0,1.8434245586395264
Acinar,Endocrine,"('PRSS1', 'F2RL2')",0.0,1.7651609182357788
T_cells,B_cells,"('FYN', 'CD79B')",0.0,1.738273024559021
Acinar,Myeloid,"('PRSS1', 'PARD3')",0.0,1.7354835271835327
Endothelial,B_cells,"('FYN', 'CD79B')",0.0,1.7302924394607544
Acinar,Endothelial,"('PRSS1', 'F2R')",0.0,1.728271722793579
Acinar,B_cells,"('PRSS1', 'F2RL2')",0.0,1.725651741027832
Acinar,B_cells,"('PRSS1', 'PARD3')",0.0,1.725607991218567
Acinar,Unknown,"('PRSS1', 'PARD3')",0.0,1.7179193496704102
Acinar,T_cells,"('PRSS1', 'PARD3')",0.0,1.71463143825531
Acinar,NK_cells,"('PRSS1', 'PARD3')",0.0,1.707024335861206
Acinar,Myeloid,"('PRSS1', 'F2R')",0.0,1.7069815397262573
Acinar,CAF_iCAF,"('PRSS1', 'F2R')",0.0,1.695366621017456
Acinar,Endothelial,"('PRSS1', 'PARD3')",0.0,1.6945215463638306
CAF_iCAF,B_cells,"('PTPN6', 'CD79B')",0.0,1.6926846504211426
Acinar,Myeloid,"('PRSS1', 'F2RL2')",0.0,1.6898460388183594
