gene,mutual_information
KRT7,0.18764352449934663
TAGLN,0.17084113618874497
FXYD3,0.13338583970277762
S100P,0.12666962862257947
AGR2,0.1184877142838392
MYL9,0.11455061479761985
VIM,0.1113416096206028
KRT17,0.10621955566526387
LGALS3,0.10261193111309819
EPCAM,0.09905855651394146
IGHM,0.09805922902043829
FXYD5,0.09798319193447824
PSMB1,0.0937722016526803
TACSTD2,0.0932675497958666
KRT19,0.08838212885603047
F11R,0.08777936222349014
KRT8,0.0875416870945167
IGFBP7,0.0853912353178905
MUC4,0.08140341767188097
EZR,0.08134676077826208
CCL21,0.0788830495292756
APP,0.07827209883070951
AHR,0.07775275073555621
RBM3,0.0777177357183021
S100A10,0.07753884217664542
AKAP12,0.07677359870912737
HYOU1,0.0763502785020358
ENY2,0.07399165048989875
COL6A2,0.0724228099915436
RHOA,0.07122735975566963
ITGB4,0.07100097521114446
NDE1,0.07086874528592357
GPRC5A,0.0701183255389437
OAZ1,0.06960809753516317
SLK,0.06952683745927457
RARRES1,0.06933661872190733
TFF1,0.06913603748761155
YWHAZ,0.06852848909888021
MUCL3,0.06835521088940633
DNAJB4,0.0683124721250068
AVPI1,0.06827419803779788
HSF1,0.0677321531998345
CD3E,0.06750748111355787
AQP3,0.06739495564553621
DHCR24,0.06725200304515688
ID1,0.06602925017125338
TFF3,0.06594796530696811
SLPI,0.06582768876005662
PMS2,0.06549703953817554
BLVRB,0.06526529177287088
