gene,mutual_information
TTR,0.2075687908696704
CHGB,0.1340719915910098
SPINT1,0.13138345015078778
CLU,0.1118276366974591
SST,0.10953174254017961
PTPRN,0.10948240355227057
COL1A2,0.1063006882100126
TMSB4X,0.1033211975766708
LCN2,0.09094439668385856
SPARC,0.08834906609985627
EFNB2,0.08609063233781233
TAGLN,0.08424474574862506
TMEM106B,0.08392194452130441
IGFBP5,0.08087852300984366
CTSS,0.08082896778729243
BBS7,0.07866023259494881
TAZ,0.07826127015044904
PRICKLE1,0.07545632319990592
ZNF141,0.07366528864720356
CXCL16,0.07318366329210946
ZBTB37,0.07001016153723194
ADAM10,0.06957658454340443
IFI27,0.06947778470711263
ADAM12,0.06884529780380255
ZDHHC20,0.06866002408531902
CST3,0.06837806549860925
PARP9,0.06758106650249562
GAB2,0.067327988185923
MYSM1,0.06699483581483934
HDGF,0.0666644732706354
ATN1,0.0660702505641857
ACTB,0.06601132296624401
B3GALT4,0.06585014005147727
GMDS,0.06573835128857874
RHNO1,0.06567278411683874
WDTC1,0.06563110407248107
FSTL1,0.0648265730023514
TSPAN1,0.06476762599838715
FADS2,0.06460887742971932
NRARP,0.06455509063856413
USP28,0.06454250037356912
AHNAK,0.06450928429402181
TMEM45A,0.06433901325338987
MRC1,0.064319077933773
COG1,0.06422411679347251
CLUH,0.06416519705299617
SLC25A24,0.0640626784349192
EDN3,0.0638000143667834
ZNRF3,0.06364806193212447
PDLIM7,0.06280202403228996
