gene,mutual_information
CD8A,0.09744349948112463
BCAR1,0.09510136919901946
RARS,0.0831832740349685
SAMHD1,0.08112781465890828
STRAP,0.08111829006931393
TBC1D9B,0.08064521502082966
PKP3,0.07860668111073421
HMGA2,0.07822988968610911
GLO1,0.07785790569197593
DAXX,0.07754412582054737
MYADM,0.07632291441048222
ACTA2,0.07625118284210641
NDFIP2,0.07601856879998925
EEF1AKMT3,0.07520314478096068
MSRA,0.07427223162302798
SSRP1,0.07378393161526864
OTUB1,0.07369096771341077
KCNC1,0.0736396055815054
S100A10,0.07348762691294164
SLC9A3R1,0.07271485833855484
RLF,0.07235571498540505
AKR1B1,0.07207395281918227
TNFAIP2,0.07099733122764151
TRIM22,0.07098072364768182
ITFG1,0.07066477393804993
EXOC6B,0.07003531672847307
FBXL5,0.06941846080551262
TFE3,0.06940567233171491
SCAF1,0.06922747456969969
TMED5,0.06847668830554943
MAPK3,0.06798878202017056
MPG,0.06745683320737683
ELF5,0.06742877370318556
IFT122,0.06734046302721275
ARHGAP35,0.06723529608504197
TMEM267,0.06687247457218248
SLC35E1,0.06686366479717876
RAB3GAP1,0.0666119863204897
TBC1D15,0.06625153154288466
TNIK,0.06596823766156268
NKX6-2,0.06526900897386811
HIGD2A,0.06447694370538626
CFP,0.06445334093379884
KPNB1,0.06419352840120318
MISP,0.06404042882862937
C8orf33,0.06403961254131652
CD3D,0.06368739605181561
SLC30A1,0.0636430176003202
IFNA1,0.06348974480745184
CHMP7,0.06325903495017027
