source,target,lr_pair,pvalue,mean
Unknown,Stellate_PSC,"('FGF22', 'PDGFRB')",0.0,1.6160439252853394
Endocrine,Stellate_PSC,"('INS', 'PDGFRB')",0.0,1.4966378211975098
Unknown,Stellate_PSC,"('VEGFD', 'PDGFRB')",0.0,1.463172435760498
Unknown,Stellate_PSC,"('FGF8', 'PDGFRB')",0.0,1.2821239233016968
Unknown,Stellate_PSC,"('IGF1', 'PDGFRB')",0.0,1.2117563486099243
Acinar,Stellate_PSC,"('PRSS1', 'F2RL2')",0.0,1.2054539918899536
Stellate_PSC,Stellate_PSC,"('IGF1', 'PDGFRB')",0.0,1.200295329093933
Unknown,Stellate_PSC,"('FGF23', 'PDGFRB')",0.0,1.1858110427856445
Acinar,Unknown,"('PRSS1', 'F2RL1')",0.0,1.1799378395080566
CAF_iCAF,CAF_iCAF,"('IL6', 'IL6')",0.0,1.1779752969741821
Stellate_PSC,Stellate_PSC,"('MFGE8', 'PDGFRB')",0.0,1.1728960275650024
CAF_iCAF,Stellate_PSC,"('FGF12', 'PDGFRB')",0.0,1.1531838178634644
Endothelial,Stellate_PSC,"('VEGFC', 'PDGFRB')",0.0,1.1473915576934814
Acinar,Stellate_PSC,"('PRSS1', 'F2R')",0.0,1.139091968536377
Unknown,Unknown,"('DIO3', 'THRB')",0.0,1.135373592376709
Acinar,Unknown,"('PRSS1', 'F2R')",0.0,1.129006028175354
Acinar,Stellate_PSC,"('FGF21', 'PDGFRB')",0.0,1.1269433498382568
Unknown,Acinar,"('SCGB1A1', 'PLA2G1B')",0.0,1.1154582500457764
Acinar,CAF_iCAF,"('PRSS1', 'F2RL1')",0.0,1.1141448020935059
Acinar,Unknown,"('CEL', 'RORC')",0.0,1.1124236583709717
Endocrine,Stellate_PSC,"('FGF16', 'PDGFRB')",0.0,1.1026203632354736
Acinar,Endothelial,"('PRSS1', 'F2R')",0.0,1.1017735004425049
Acinar,Stellate_PSC,"('INS', 'PDGFRB')",0.0,1.0981440544128418
Endocrine,Unknown,"('PPY', 'NPY2R')",0.0,1.0979812145233154
Acinar,Stellate_PSC,"('FGF17', 'PDGFRB')",0.0,1.0975325107574463
Unknown,Stellate_PSC,"('FGF7', 'PDGFRB')",0.0,1.0953015089035034
T_cells,T_cells,"('CD8A', 'CD4')",0.0,1.0952935218811035
CAF_iCAF,Stellate_PSC,"('FGF16', 'PDGFRB')",0.0,1.0880436897277832
Myeloid,Stellate_PSC,"('FGF9', 'PDGFRB')",0.0,1.0847809314727783
Endothelial,Stellate_PSC,"('FGF10', 'PDGFRB')",0.0,1.0843408107757568
