gene,mutual_information
MTA1,0.12388461849574517
TAGLN,0.11777171142817844
ADNP2,0.10881077240260817
DUSP3,0.10790282315632194
MEAF6,0.10517360649374075
ACTA2,0.10204337884504877
MTCL1,0.10099696475698128
TEN1,0.1004898033496282
CKAP5,0.09442055053339038
S100A8,0.09341393173112245
SCAMP2,0.0931968233006093
WWOX,0.09223943494193998
IFI6,0.09213628094872828
ENAH,0.09145887329875224
SIPA1L2,0.09100828223899704
RFC3,0.09099757291629773
RNF185,0.09058422849107783
CHGA,0.08998537284746622
ANKRD9,0.08843595636805901
PGRMC1,0.08565688515232495
CEBPD,0.08522302067766185
CRYBG3,0.08465894712739175
EP300,0.08457314375814562
PPARGC1B,0.08326502591512641
TAF7,0.08310852242339273
KRT8,0.08260273352928627
AGR2,0.08256322616733591
TMEM63A,0.08220001098589691
PTPRU,0.08198260482659592
PMEPA1,0.08183859874086252
BPHL,0.08115233656910714
KLF6,0.08111841454683555
DDX5,0.08058783553828786
ITPRIPL2,0.08043306510546744
BAZ2B,0.080390798121178
CAMKK2,0.0803508072348702
ANKFY1,0.08023748888828575
RANBP9,0.08012318306204946
TRIM4,0.07993464149959939
USP53,0.07992255721293207
KCMF1,0.07980225937601171
MVP,0.0797433043491016
BTBD19,0.07960292706638628
SLC25A6,0.07941008444051523
CISD1,0.07916084645822208
DYNLT1,0.07892496981431352
SFXN1,0.07875967603423639
RIPOR3,0.07867506561978255
VAPA,0.07817516412870473
ARPC2,0.0780653667159954
