group_var,groups,metric,group_means,statistic,p_value,test,group1,group2,group1_mean,group1_std,group2_mean,group2_std,effect_size
lane,"1, 2, 3, 4",n_cells,"{np.int64(1): np.float64(71260.25), np.int64(2): np.float64(62361.25), np.int64(3): np.float64(60937.25), np.int64(4): np.float64(94062.25)}",2.9346590909090935,0.4018095612425916,Kruskal-Wallis,,,,,,,
lane,"1, 2, 3, 4",total_immune_pct,"{np.int64(1): np.float64(20.000236137744654), np.int64(2): np.float64(20.000281345156203), np.int64(3): np.float64(20.000306023510525), np.int64(4): np.float64(20.00027258112024)}",0.2979104616530117,0.9604209859028695,Kruskal-Wallis,,,,,,,
lane,"1, 2, 3, 4",cd8_pct,"{np.int64(1): np.float64(3.1935064294760864), np.int64(2): np.float64(2.441826506890604), np.int64(3): np.float64(3.896289554401694), np.int64(4): np.float64(4.0026095693902555)}",3.3238636363636402,0.3443350574662892,Kruskal-Wallis,,,,,,,
lane,"1, 2, 3, 4",treg_pct,"{np.int64(1): np.float64(0.8279590201323938), np.int64(2): np.float64(0.6931243659425272), np.int64(3): np.float64(0.683351130931692), np.int64(4): np.float64(1.1891182874038093)}",5.0227272727272805,0.1701404862585335,Kruskal-Wallis,,,,,,,
lane,"1, 2, 3, 4",cd8_treg_ratio,"{np.int64(1): np.float64(8.268400700082246), np.int64(2): np.float64(6.073479633074558), np.int64(3): np.float64(11.210557612963537), np.int64(4): np.float64(3.4891640299970437)}",1.8295454545454533,0.608526716407062,Kruskal-Wallis,,,,,,,
lane,"1, 2, 3, 4",macrophage_pct,"{np.int64(1): np.float64(2.4313724349488037), np.int64(2): np.float64(3.0048516165214103), np.int64(3): np.float64(2.6798675589965866), np.int64(4): np.float64(1.7129824280889139)}",7.7102272727272805,0.05239587644890142,Kruskal-Wallis,,,,,,,
lane,"1, 2, 3, 4",epithelial_pct,"{np.int64(1): np.float64(18.972611144758154), np.int64(2): np.float64(18.66308348528201), np.int64(3): np.float64(18.750673867482686), np.int64(4): np.float64(18.59479570764754)}",1.0823863636363598,0.7813276966400932,Kruskal-Wallis,,,,,,,
lane,"1, 2, 3, 4",stromal_pct,"{np.int64(1): np.float64(11.863637109323923), np.int64(2): np.float64(12.5378604098669), np.int64(3): np.float64(13.225246592004982), np.int64(4): np.float64(11.206600209198653)}",3.3522727272727337,0.34043326789153766,Kruskal-Wallis,,,,,,,
lane,"1, 2, 3, 4",pct_pd1_pos_t_cells,"{np.int64(1): np.float64(26.2452294368365), np.int64(2): np.float64(20.522399877000296), np.int64(3): np.float64(29.716360038139854), np.int64(4): np.float64(39.35567414662335)}",7.446022727272734,0.05896170000654983,Kruskal-Wallis,,,,,,,
lane,"1, 2, 3, 4",pct_pdl1_pos_tumor,"{np.int64(1): np.float64(23.9354402829588), np.int64(2): np.float64(28.796591628997817), np.int64(3): np.float64(31.09674161190004), np.int64(4): np.float64(17.441536181192294)}",11.86647727272728,0.007854833644710735,Kruskal-Wallis,,,,,,,
lane,"1, 2, 3, 4",cd8_exhaustion_score,"{np.int64(1): np.float64(0.20708379958127154), np.int64(2): np.float64(0.1932226004088511), np.int64(3): np.float64(0.19019761326606524), np.int64(4): np.float64(0.24112165867315738)}",7.764204545454547,0.05114473092261834,Kruskal-Wallis,,,,,,,
cd8_treg_group,,n_cells,,72.0,0.0364622319614922,Mann-Whitney U,High_CD8/Treg,Low_CD8/Treg,54453.875,27028.09088800021,89856.625,47246.33675376325,0.4375
cd8_treg_group,,total_immune_pct,,158.0,0.2625084397055244,Mann-Whitney U,High_CD8/Treg,Low_CD8/Treg,20.00041935507719,0.0006496498346640321,20.00012868868862,0.000733852059746479,-0.234375
cd8_treg_group,,cd8_pct,,174.0,0.08637350703435537,Mann-Whitney U,High_CD8/Treg,Low_CD8/Treg,4.007328864061055,2.227481160857947,2.759787166018267,1.132860641060959,-0.359375
cd8_treg_group,,treg_pct,,45.0,0.0018750851285173021,Mann-Whitney U,High_CD8/Treg,Low_CD8/Treg,0.5415444004028205,0.42184491902727983,1.1552320018023905,0.470045980166252,0.6484375
cd8_treg_group,,cd8_treg_ratio,,256.0,1.5449101737495915e-06,Mann-Whitney U,High_CD8/Treg,Low_CD8/Treg,11.966655471246012,11.771121086921676,2.5541455168126803,0.98733241913589,-1.0
cd8_treg_group,,macrophage_pct,,129.0,0.9849651869281953,Mann-Whitney U,High_CD8/Treg,Low_CD8/Treg,2.5324936499192123,1.1839464020351038,2.3820433693586445,0.8917386489207878,-0.0078125
cd8_treg_group,,epithelial_pct,,100.0,0.2999944706772245,Mann-Whitney U,High_CD8/Treg,Low_CD8/Treg,18.602892525526535,0.6766688790189892,18.88768957705866,0.8042356498908797,0.21875
cd8_treg_group,,stromal_pct,,121.0,0.8064734910574618,Mann-Whitney U,High_CD8/Treg,Low_CD8/Treg,12.053070719795917,2.88880814942291,12.363601440401311,3.3337529663394894,0.0546875
cd8_treg_group,,pct_pd1_pos_t_cells,,65.0,0.018494940419589944,Mann-Whitney U,High_CD8/Treg,Low_CD8/Treg,23.79781946328113,11.404641156965695,34.12201228601887,13.219329602933321,0.4921875
cd8_treg_group,,pct_pdl1_pos_tumor,,200.0,0.007043984556957127,Mann-Whitney U,High_CD8/Treg,Low_CD8/Treg,29.65658176826957,8.803569218602178,20.978573084254908,7.124771913773737,-0.5625
cd8_treg_group,,cd8_exhaustion_score,,107.0,0.43974563486845963,Mann-Whitney U,High_CD8/Treg,Low_CD8/Treg,0.2017789244304796,0.04637129506807104,0.21403391153419304,0.04223540054219638,0.1640625
pdl1_group,,n_cells,,91.0,0.1689314096806983,Mann-Whitney U,High_PDL1,Low_PDL1,60441.0625,36900.10626266317,83869.4375,44461.57179103283,0.2890625
pdl1_group,,total_immune_pct,,131.0,0.9243496983699019,Mann-Whitney U,High_PDL1,Low_PDL1,20.000300929593525,0.0008615985476010337,20.00024711417229,0.0005116119779514694,-0.0234375
pdl1_group,,cd8_pct,,147.0,0.48564949131806745,Mann-Whitney U,High_PDL1,Low_PDL1,3.696574955320728,2.181998019427227,3.0705410747585926,1.4508500475885844,-0.1484375
pdl1_group,,treg_pct,,62.0,0.013563360005107201,Mann-Whitney U,High_PDL1,Low_PDL1,0.6182977826957214,0.48894658831288756,1.0784786195094898,0.4977403908785576,0.515625
pdl1_group,,cd8_treg_ratio,,212.0,0.0016494105083347263,Mann-Whitney U,High_PDL1,Low_PDL1,9.39921766538437,9.584127219651183,5.121583322674322,9.228784103281956,-0.65625
pdl1_group,,macrophage_pct,,122.0,0.8357841257402611,Mann-Whitney U,High_PDL1,Low_PDL1,2.4764847942933788,1.1707545277183655,2.438052224984478,0.9151749139468678,0.046875
pdl1_group,,epithelial_pct,,124.0,0.8950545192438701,Mann-Whitney U,High_PDL1,Low_PDL1,18.732131248218316,0.7101823030599062,18.758450854366878,0.8020010741173118,0.03125
pdl1_group,,stromal_pct,,145.0,0.5340292284243271,Mann-Whitney U,High_PDL1,Low_PDL1,12.420840774773879,3.1980877591308987,11.995831385423351,3.0309152800645203,-0.1328125
pdl1_group,,pct_pd1_pos_t_cells,,58.0,0.008808980932423759,Mann-Whitney U,High_PDL1,Low_PDL1,23.078970511712072,11.022203475758548,34.84086123758793,12.899323641405436,0.546875
pdl1_group,,pct_pdl1_pos_tumor,,256.0,1.5449101737495915e-06,Mann-Whitney U,High_PDL1,Low_PDL1,32.849809485501964,6.0552346997289535,17.78534536702251,3.2756487648636288,-1.0
